#No.	Label Name:	R	G	B	A
1	lh_bankssts_part1	32	65	74	0
2	lh_bankssts_part2	41	15	68	0
3	lh_caudalanteriorcingulate_part1	97	83	231	0
4	lh_caudalmiddlefrontal_part1	93	32	82	0
5	lh_caudalmiddlefrontal_part2	61	155	253	0
6	lh_caudalmiddlefrontal_part3	31	9	210	0
7	lh_caudalmiddlefrontal_part4	125	12	122	0
8	lh_cuneus_part1	180	113	19	0
9	lh_cuneus_part2	61	19	32	0
10	lh_entorhinal_part1	4	191	13	0
11	lh_fusiform_part1	102	193	41	0
12	lh_fusiform_part2	242	18	87	0
13	lh_fusiform_part3	233	17	58	0
14	lh_fusiform_part4	100	177	90	0
15	lh_fusiform_part5	213	135	69	0
16	lh_inferiorparietal_part1	252	114	117	0
17	lh_inferiorparietal_part2	57	159	140	0
18	lh_inferiorparietal_part3	228	68	10	0
19	lh_inferiorparietal_part4	163	41	118	0
20	lh_inferiorparietal_part5	34	75	26	0
21	lh_inferiorparietal_part6	111	64	111	0
22	lh_inferiorparietal_part7	249	107	78	0
23	lh_inferiorparietal_part8	179	168	158	0
24	lh_inferiortemporal_part1	109	195	120	0
25	lh_inferiortemporal_part2	30	167	199	0
26	lh_inferiortemporal_part3	136	141	200	0
27	lh_inferiortemporal_part4	79	217	233	0
28	lh_inferiortemporal_part5	44	57	205	0
29	lh_inferiortemporal_part6	33	31	35	0
30	lh_isthmuscingulate_part1	26	9	75	0
31	lh_isthmuscingulate_part2	67	157	138	0
32	lh_lateraloccipital_part1	87	213	84	0
33	lh_lateraloccipital_part2	18	61	160	0
34	lh_lateraloccipital_part3	171	240	221	0
35	lh_lateraloccipital_part4	200	236	201	0
36	lh_lateraloccipital_part5	223	46	58	0
37	lh_lateraloccipital_part6	225	119	122	0
38	lh_lateraloccipital_part7	253	106	149	0
39	lh_lateraloccipital_part8	13	112	185	0
40	lh_lateraloccipital_part9	248	90	43	0
41	lh_lateralorbitofrontal_part1	181	233	154	0
42	lh_lateralorbitofrontal_part2	134	120	203	0
43	lh_lateralorbitofrontal_part3	226	91	239	0
44	lh_lateralorbitofrontal_part4	69	225	85	0
45	lh_lingual_part1	90	167	80	0
46	lh_lingual_part2	233	233	214	0
47	lh_lingual_part3	123	5	59	0
48	lh_lingual_part4	165	216	180	0
49	lh_lingual_part5	228	81	125	0
50	lh_lingual_part6	176	131	253	0
51	lh_medialorbitofrontal_part1	163	220	63	0
52	lh_medialorbitofrontal_part2	189	156	42	0
53	lh_medialorbitofrontal_part3	235	175	16	0
54	lh_middletemporal_part1	16	93	33	0
55	lh_middletemporal_part2	85	28	17	0
56	lh_middletemporal_part3	16	234	184	0
57	lh_middletemporal_part4	173	188	94	0
58	lh_middletemporal_part5	202	240	143	0
59	lh_parahippocampal_part1	215	112	35	0
60	lh_parahippocampal_part2	57	21	231	0
61	lh_paracentral_part1	221	210	245	0
62	lh_paracentral_part2	83	3	60	0
63	lh_paracentral_part3	87	131	253	0
64	lh_parsopercularis_part1	183	158	101	0
65	lh_parsopercularis_part2	240	214	172	0
66	lh_parsopercularis_part3	100	50	3	0
67	lh_parsorbitalis_part1	89	125	252	0
68	lh_parstriangularis_part1	208	17	105	0
69	lh_parstriangularis_part2	238	223	34	0
70	lh_pericalcarine_part1	115	155	120	0
71	lh_pericalcarine_part2	212	41	149	0
72	lh_postcentral_part1	213	221	20	0
73	lh_postcentral_part2	187	224	86	0
74	lh_postcentral_part3	18	61	97	0
75	lh_postcentral_part4	132	213	81	0
76	lh_postcentral_part5	189	16	106	0
77	lh_postcentral_part6	30	50	50	0
78	lh_postcentral_part7	231	188	158	0
